timestamp,db,sf,query,t_first,t_second
2024-12-07T10-00-45,duckdb_sf1.db,1,1,0.04800224304199219,0.04299759864807129
2024-12-07T10-00-45,duckdb_sf1.db,1,2,0.03100132942199707,0.02900075912475586
2024-12-07T10-00-45,duckdb_sf1.db,1,3,0.020000934600830078,0.012999296188354492
2024-12-07T10-00-45,duckdb_sf1.db,1,4,0.19900035858154297,0.20399904251098633
2024-12-07T10-00-45,duckdb_sf1.db,1,5,0.03899884223937988,0.03499960899353027
2024-12-07T10-00-45,duckdb_sf1.db,1,6,0.029997587203979492,0.028000593185424805
2024-12-07T10-00-45,duckdb_sf1.db,1,7,0.04600048065185547,0.05100131034851074
2024-12-07T10-00-45,duckdb_sf1.db,1,8,0.02399754524230957,0.020999670028686523
2024-12-07T10-00-45,duckdb_sf1.db,1,9,0.07699990272521973,0.07300066947937012
2024-12-07T10-00-46,duckdb_sf1.db,1,10,0.02699875831604004,0.030001401901245117
2024-12-07T10-00-46,duckdb_sf1.db,1,11,0.15000033378601074,0.1549983024597168
2024-12-07T10-00-46,duckdb_sf1.db,1,12,0.03299975395202637,0.07300066947937012
2024-12-07T10-00-46,duckdb_sf1.db,1,13,0.02699875831604004,0.026999711990356445
2024-12-07T10-00-46,duckdb_sf1.db,1,14,0.1680011749267578,0.1680002212524414
2024-12-07T10-00-46,duckdb_sf1.db,1,15,0.015999555587768555,0.015000581741333008
2024-12-07T10-00-46,duckdb_sf1.db,1,16,0.020999670028686523,0.017002105712890625
2024-12-07T10-00-47,duckdb_sf1.db,1,17,0.021999597549438477,0.02200031280517578
2024-12-07T10-00-47,duckdb_sf1.db,1,18,0.05099844932556152,0.050002098083496094
2024-12-07T10-00-47,duckdb_sf1.db,1,19,0.01999950408935547,0.02899909019470215
2024-12-07T10-00-47,duckdb_sf1.db,1,20,0.07199954986572266,0.0410001277923584
2024-12-07T10-00-47,duckdb_sf1.db,1,21,0.009999275207519531,0.009000539779663086
2024-12-07T10-00-47,duckdb_sf1.db,1,22,0.20800161361694336,0.19899868965148926
2024-12-07T10-00-47,duckdb_sf1.db,1,23,0.10599851608276367,0.10201406478881836
2024-12-07T10-00-47,duckdb_sf1.db,1,24,0.029999494552612305,0.030001401901245117
2024-12-07T10-00-48,duckdb_sf1.db,1,25,0.018999338150024414,0.019000530242919922
2024-12-07T10-00-48,duckdb_sf1.db,1,26,0.026000261306762695,0.026996612548828125
2024-12-07T10-00-48,duckdb_sf1.db,1,27,0.08300280570983887,0.07800030708312988
2024-12-07T10-00-48,duckdb_sf1.db,1,28,0.04599714279174805,0.04300069808959961
2024-12-07T10-00-48,duckdb_sf1.db,1,29,0.029997587203979492,0.0260009765625
2024-12-07T10-00-48,duckdb_sf1.db,1,30,0.051000356674194336,0.0370023250579834
2024-12-07T10-00-48,duckdb_sf1.db,1,31,0.04600048065185547,0.04599738121032715
2024-12-07T10-00-48,duckdb_sf1.db,1,32,0.0069997310638427734,0.0070002079010009766
2024-12-07T10-00-48,duckdb_sf1.db,1,33,0.01900196075439453,0.016999483108520508
2024-12-07T10-00-48,duckdb_sf1.db,1,34,0.020998716354370117,0.021001100540161133
2024-12-07T10-00-48,duckdb_sf1.db,1,35,0.07699966430664062,0.07100033760070801
2024-12-07T10-00-48,duckdb_sf1.db,1,36,0.07399940490722656,0.09900164604187012
2024-12-07T10-00-49,duckdb_sf1.db,1,37,0.00999903678894043,0.009000778198242188
2024-12-07T10-00-49,duckdb_sf1.db,1,38,0.04499936103820801,0.04800748825073242
2024-12-07T10-00-49,duckdb_sf1.db,1,39,0.03199148178100586,0.03199958801269531
2024-12-07T10-00-49,duckdb_sf1.db,1,40,0.015997886657714844,0.01600050926208496
2024-12-07T10-00-49,duckdb_sf1.db,1,41,0.009998559951782227,0.01100015640258789
2024-12-07T10-00-49,duckdb_sf1.db,1,42,0.00999760627746582,0.018002033233642578
2024-12-07T10-00-49,duckdb_sf1.db,1,43,0.022998809814453125,0.02200150489807129
2024-12-07T10-00-49,duckdb_sf1.db,1,44,0.032999277114868164,0.02899789810180664
2024-12-07T10-00-49,duckdb_sf1.db,1,45,0.019997596740722656,0.020000696182250977
2024-12-07T10-00-49,duckdb_sf1.db,1,46,0.04700279235839844,0.04599738121032715
2024-12-07T10-00-49,duckdb_sf1.db,1,47,0.22300124168395996,0.14600062370300293
2024-12-07T10-00-49,duckdb_sf1.db,1,48,0.029001712799072266,0.04899954795837402
2024-12-07T10-00-49,duckdb_sf1.db,1,49,0.04399871826171875,0.03100109100341797
2024-12-07T10-00-50,duckdb_sf1.db,1,50,0.024998903274536133,0.026000022888183594
2024-12-07T10-00-50,duckdb_sf1.db,1,51,0.7777099609375,0.6272001266479492
2024-12-07T10-00-51,duckdb_sf1.db,1,52,0.013000249862670898,0.013000249862670898
2024-12-07T10-00-51,duckdb_sf1.db,1,53,0.022001028060913086,0.10700082778930664
2024-12-07T10-00-51,duckdb_sf1.db,1,54,0.017006874084472656,0.016994953155517578
2024-12-07T10-00-51,duckdb_sf1.db,1,55,0.011999368667602539,0.01399993896484375
2024-12-07T10-00-51,duckdb_sf1.db,1,56,0.030000686645507812,0.031000137329101562
2024-12-07T10-00-51,duckdb_sf1.db,1,57,0.11099958419799805,0.3039991855621338
2024-12-07T10-00-52,duckdb_sf1.db,1,58,0.02989983558654785,0.025999069213867188
2024-12-07T10-00-52,duckdb_sf1.db,1,59,0.048999786376953125,0.050000905990600586
2024-12-07T10-00-52,duckdb_sf1.db,1,60,0.03299903869628906,0.03300023078918457
2024-12-07T10-00-52,duckdb_sf1.db,1,61,0.026999473571777344,0.0260007381439209
2024-12-07T10-00-52,duckdb_sf1.db,1,62,0.01600027084350586,0.015999555587768555
2024-12-07T10-00-52,duckdb_sf1.db,1,63,0.05300021171569824,0.02200150489807129
2024-12-07T10-00-52,duckdb_sf1.db,1,64,0.14999961853027344,0.14500188827514648
2024-12-07T10-00-52,duckdb_sf1.db,1,65,0.03400111198425293,0.03400158882141113
2024-12-07T10-00-52,duckdb_sf1.db,1,66,0.07000041007995605,0.05699872970581055
2024-12-07T10-00-53,duckdb_sf1.db,1,67,0.37552404403686523,0.37155771255493164
2024-12-07T10-00-53,duckdb_sf1.db,1,68,0.03300023078918457,0.0345156192779541
2024-12-07T10-00-53,duckdb_sf1.db,1,69,0.04600119590759277,0.04799985885620117
2024-12-07T10-00-53,duckdb_sf1.db,1,70,0.03599953651428223,0.03399848937988281
2024-12-07T10-00-54,duckdb_sf1.db,1,71,0.05100202560424805,0.026999235153198242
2024-12-07T10-00-54,duckdb_sf1.db,1,72,0.09200024604797363,0.08499932289123535
2024-12-07T10-00-54,duckdb_sf1.db,1,73,0.01600027084350586,0.015998363494873047
2024-12-07T10-00-54,duckdb_sf1.db,1,74,0.11896896362304688,0.1120004653930664
2024-12-07T10-00-54,duckdb_sf1.db,1,75,0.05700182914733887,0.05800056457519531
2024-12-07T10-00-54,duckdb_sf1.db,1,76,0.0279996395111084,0.02499866485595703
2024-12-07T10-00-54,duckdb_sf1.db,1,77,0.018999099731445312,0.018999099731445312
2024-12-07T10-00-54,duckdb_sf1.db,1,78,0.10200023651123047,0.11100077629089355
2024-12-07T10-00-55,duckdb_sf1.db,1,79,0.03099822998046875,0.03099966049194336
2024-12-07T10-00-55,duckdb_sf1.db,1,80,0.06000113487243652,0.06199979782104492
2024-12-07T10-00-55,duckdb_sf1.db,1,81,0.04900169372558594,0.04900026321411133
2024-12-07T10-00-55,duckdb_sf1.db,1,82,0.011998176574707031,0.011001110076904297
2024-12-07T10-00-55,duckdb_sf1.db,1,83,0.01600193977355957,0.014998674392700195
2024-12-07T10-00-55,duckdb_sf1.db,1,84,0.014999151229858398,0.013999462127685547
2024-12-07T10-00-55,duckdb_sf1.db,1,85,0.027000904083251953,0.025000333786010742
2024-12-07T10-00-55,duckdb_sf1.db,1,86,0.027997732162475586,0.06300187110900879
2024-12-07T10-00-55,duckdb_sf1.db,1,87,0.04799818992614746,0.050002098083496094
2024-12-07T10-00-55,duckdb_sf1.db,1,88,0.043999671936035156,0.04500007629394531
2024-12-07T10-00-55,duckdb_sf1.db,1,89,0.0689995288848877,0.0670003890991211
2024-12-07T10-00-55,duckdb_sf1.db,1,90,0.0050008296966552734,0.005000114440917969
2024-12-07T10-00-55,duckdb_sf1.db,1,91,0.01399850845336914,0.01400136947631836
2024-12-07T10-00-55,duckdb_sf1.db,1,92,0.00899958610534668,0.009000301361083984
2024-12-07T10-00-55,duckdb_sf1.db,1,93,0.032000064849853516,0.033998727798461914
2024-12-07T10-00-55,duckdb_sf1.db,1,94,0.013999700546264648,0.012999296188354492
2024-12-07T10-00-55,duckdb_sf1.db,1,95,0.11700105667114258,0.11099958419799805
2024-12-07T10-00-56,duckdb_sf1.db,1,96,0.004999637603759766,0.006001949310302734
2024-12-07T10-00-56,duckdb_sf1.db,1,97,0.04200124740600586,0.048002004623413086
2024-12-07T10-00-56,duckdb_sf1.db,1,98,0.06599736213684082,0.05399942398071289
2024-12-07T10-00-56,duckdb_sf1.db,1,99,0.026001453399658203,0.02499866485595703
