timestamp,db,query,t_first,t_second
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(1);,0.0370023250579834,0.03099679946899414
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(2);,0.024998188018798828,0.017999649047851562
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(3);,0.030002593994140625,0.039998769760131836
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(4);,0.028993844985961914,0.031996726989746094
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(5);,0.03399825096130371,0.031007766723632812
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(6);,0.005997419357299805,0.005000591278076172
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(7);,0.029000043869018555,0.03300046920776367
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(8);,0.03299880027770996,0.030000925064086914
2024-12-04T14-41-47,tpch-sf1,PRAGMA tpch(9);,0.08299803733825684,0.0839998722076416
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(10);,0.06799936294555664,0.06000065803527832
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(11);,0.012000083923339844,0.00899958610534668
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(12);,0.015000581741333008,0.015000581741333008
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(13);,0.06800079345703125,0.05299949645996094
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(14);,0.02500009536743164,0.018998146057128906
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(15);,0.010999202728271484,0.01199960708618164
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(16);,0.03799939155578613,0.04200339317321777
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(17);,0.03499341011047363,0.024997949600219727
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(18);,0.059000492095947266,0.053000688552856445
2024-12-04T14-41-48,tpch-sf1,PRAGMA tpch(19);,0.024005651473999023,0.031995296478271484
