timestamp,db,query,t_first, t_second
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(1);,0.03700137138366699,0.02799844741821289
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(2);,0.02299809455871582,0.018999576568603516
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(3);,0.03200364112854004,0.02899789810180664
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(4);,0.02899909019470215,0.030000686645507812
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(5);,0.03500223159790039,0.03499770164489746
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(6);,0.006999492645263672,0.0050008296966552734
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(7);,0.03199934959411621,0.03399991989135742
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(8);,0.033998966217041016,0.031000614166259766
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(9);,0.08999943733215332,0.09000015258789062
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(10);,0.0709996223449707,0.05800151824951172
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(11);,0.010998725891113281,0.010001420974731445
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(12);,0.01600027084350586,0.015999794006347656
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(13);,0.0540006160736084,0.05099916458129883
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(14);,0.015000104904174805,0.015000581741333008
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(15);,0.011000633239746094,0.010001897811889648
2024-12-04T14-38-47,tpch-sf1,PRAGMA tpch(16);,0.040999650955200195,0.03099989891052246
2024-12-04T14-38-48,tpch-sf1,PRAGMA tpch(17);,0.029999256134033203,0.023999929428100586
2024-12-04T14-38-48,tpch-sf1,PRAGMA tpch(18);,0.06100177764892578,0.05499744415283203
2024-12-04T14-38-48,tpch-sf1,PRAGMA tpch(19);,0.02499985694885254,0.02600836753845215
2024-12-04T14-38-48,tpch-sf1,PRAGMA tpch(20);,0.02200031280517578,0.01999950408935547
2024-12-04T14-38-48,tpch-sf1,PRAGMA tpch(21);,0.08000349998474121,0.08199810981750488
2024-12-04T14-38-48,tpch-sf1,PRAGMA tpch(22);,0.03299903869628906,0.030001163482666016
